"tid","Rörelsemängdsmoment (kg * m^2/s)","Förändring rörelsemängdsmoment","energi (J)","förändring energi","avstånd från analytisk lösning (m)","hastighet(m/s)","Hastighet jfr början","delta hastighet"
13.5999999999816,4000005.17401815,1.29350453725863E-06,-293714.948263422,-1.76411657504261E-07,5.09791690063484E-07,0.0587012227953522,0.467530569883805,0.000271813779078228
13.6999999999814,4000005.22339239,1.30584809832079E-06,-293714.948690147,-1.7495880488827E-07,5.21288093026413E-07,0.0589752346001225,0.474380865003062,0.00027401180477029
13.7999999999812,4000005.27308331,1.31827082805458E-06,-293714.949143386,-1.73415679483035E-07,5.32960311353308E-07,0.0592514584992649,0.481286462481622,0.000276223899142419
13.8999999999809,4000005.32309635,1.33077408670523E-06,-293714.949623763,-1.71780157876E-07,5.44809861936623E-07,0.0595299089849811,0.488247724624528,0.000278450485716224
13.9999999999807,4000005.37343702,1.3433592553902E-06,-293714.950131923,-1.70050046266468E-07,5.56838259603426E-07,0.0598106009807992,0.495265024519979,0.000280691995818046
14.0999999999805,4000005.424111,1.3560277489777E-06,-293714.950668523,-1.68223103780285E-07,5.69047033667588E-07,0.0600935498495943,0.502338746239858,0.000282948868795152
14.1999999999802,4000005.47512403,1.3687810069829E-06,-293714.95123424,-1.66297030146367E-07,5.81437725828302E-07,0.0603787714018312,0.509469285045779,0.000285221552236849
14.29999999998,4000005.52648201,1.38162050289381E-06,-293714.951829769,-1.64269455260602E-07,5.9401187967147E-07,0.0606662819040391,0.516657047600978,0.00028751050220796
14.3999999999798,4000005.57819093,1.39454773151471E-06,-293714.952455826,-1.62137943293672E-07,6.06771038772569E-07,0.0609560980875274,0.523902452188186,0.000289816183488299
14.4999999999795,4000005.63025693,1.40756423294697E-06,-293714.953113146,-1.59899991025725E-07,6.19716765303028E-07,0.0612482371573498,0.531205928933745,0.000292139069822388
14.5999999999793,4000005.68268627,1.42067156660985E-06,-293714.953802484,-1.57553030621926E-07,6.32850623278076E-07,0.0615427168015288,0.538567920038219,0.000294479644178967
14.6999999999791,4000005.73548531,1.43387132878203E-06,-293714.954524615,-1.55094416975921E-07,6.46174182698346E-07,0.061839555200549,0.545988880013724,0.000296838399020199
14.7999999999788,4000005.78866063,1.44716515748655E-06,-293714.955280337,-1.52521440033304E-07,6.59689032946784E-07,0.0621387710371296,0.553469275928241,0.000299215836580671
14.8999999999786,4000005.84221886,1.4605547158375E-06,-293714.95607047,-1.49831305695791E-07,6.73396763417792E-07,0.062440383506287,0.561009587657175,0.000301612469157338
14.9999999999784,4000005.89616681,1.47404170358634E-06,-293714.956895858,-1.47021140151082E-07,6.87298968799691E-07,0.0627444123256979,0.568610308142447,0.000304028819410912
15.0999999999781,4000005.95051147,1.48762786666978E-06,-293714.957757366,-1.44087996090114E-07,7.01397262007354E-07,0.0630508777463761,0.576271943659404,0.000306465420678248
15.1999999999779,4000006.00525991,1.5013149765597E-06,-293714.958655889,-1.41028830169532E-07,7.15693254755676E-07,0.0633598005636713,0.583995014091782,0.000308922817295124
15.2999999999777,4000006.06041941,1.51510485313366E-06,-293714.959592343,-1.37840521663435E-07,7.30188573376001E-07,0.063671202128606,0.59178005321515,0.000311401564934741
15.3999999999774,4000006.11599741,1.52899935290662E-06,-293714.960567673,-1.345198551439E-07,7.44884855761487E-07,0.0639851043595609,0.599627608989022,0.000313902230954871
15.4999999999772,4000006.17200149,1.54300037191746E-06,-293714.961582849,-1.31063524810848E-07,7.59783743742112E-07,0.0643015297543224,0.607538243858059,0.000316425394761496
15.599999999977,4000006.22843944,1.55710985882962E-06,-293714.962638871,-1.27468127941732E-07,7.74886895765851E-07,0.0646205014025071,0.615512535062676,0.000318971648184674
